curie	label	rxcui
CHEBI:134821	adrenalone	17073
CHEBI:134822	oxilofrine	32639
CHEBI:134837	fenproporex	24867
CHEBI:134841	Dihydralazine	3409
CHEBI:134842	idrocilamide	19729
CHEBI:134855	BISMUTH CAMPHOCARBONATE	237087
CHEBI:134857	ethylnorepinephrine	156240
CHEBI:134859	Beclamide	18846
CHEBI:134863	indanazoline	27492
CHEBI:134865	fenozolone	24860
CHEBI:134866	telmesteine	85929
CHEBI:134870	toloxatone	38382
CHEBI:134875	allobarbital	516
CHEBI:134883	mefenorex	29444
CHEBI:134884	butobarbital	19874
CHEBI:134890	naftazone	31475
CHEBI:134891	sulfanilylurea	37333
CHEBI:134893	tramazoline	38453
CHEBI:134898	prolintane	34604
CHEBI:134902	benzylthiouracil	19084
CHEBI:134903	fenoxazoline	24856
CHEBI:134906	cicloxilic acid	21095
CHEBI:134907	lidamidine	28701
CHEBI:134908	butibufen	19880
CHEBI:134913	DIMECROTIC ACID	236346
CHEBI:134917	rimiterol	9388
CHEBI:134919	Vinbarbital	89811
CHEBI:134922	butylvinal	19928
CHEBI:134923	talbutal	89810
CHEBI:134924	febuprol	24809
CHEBI:134926	drometrizole	1426903
CHEBI:134928	proxibarbal	83885
CHEBI:134929	Nimorazole	7427
CHEBI:134934	cyprodenate	22051
CHEBI:134936	pemirolast	19551
CHEBI:134957	cyclobarbital	2978
CHEBI:134961	carbromal	2067
CHEBI:134965	tilbroquinol	166718
CHEBI:134966	rufinamide	69036
CHEBI:134967	cinametic acid	21113
CHEBI:134972	flosequinan	25089
CHEBI:134975	fluindione	50097
CHEBI:134991	frovatriptan	228783
CHEBI:134995	mesulfen	29584
CHEBI:134996	isoaminile	27866
CHEBI:135005	milnacipran	588250
CHEBI:135010	Enoximone	49626
CHEBI:135014	erdosteine	24305
CHEBI:135022	amphetaminil	17813
CHEBI:135023	ALIBENDOL	236219
CHEBI:135032	Ethacridine	4106
CHEBI:135042	TENONITROZOLE	236186
CHEBI:135047	phenyltoloxamine	33408
CHEBI:135051	edoxudine	49428
CHEBI:135053	ethoxazene	41078
CHEBI:135057	CHLORPHENINDIONE	402527
CHEBI:135061	medifoxamine	29434
CHEBI:135062	iodinated glycerol	27723
CHEBI:135068	AZINTAMIDE	402580
CHEBI:135069	clobenzorex	21244
CHEBI:135071	nadoxolol	31462
CHEBI:135074	ethoheptazine	24484
CHEBI:135075	Alphaprodine	594
CHEBI:135078	cycletanide	21914
CHEBI:135082	mepindolol	29518
CHEBI:135083	cifenline	21099
CHEBI:135086	butethamate citrate	156762
CHEBI:135088	iprazochrome	51486
CHEBI:135091	pentifylline	33086
CHEBI:135095	PARETHOXYCAINE	236249
CHEBI:135096	myrtecaine	59082
CHEBI:135114	PENTAERYTHRITYL TETRASTEARATE	1307090
CHEBI:135118	Carbutamide	2068
CHEBI:135122	delmopinol	60451
CHEBI:135123	Bupranolol	1817
CHEBI:135132	ensulizole	13714
CHEBI:135133	tybamate	62178
CHEBI:135136	nifuroxazide	31782
CHEBI:135144	mebhydroline	29411
CHEBI:135155	acecarbromal	16688
CHEBI:135163	tromantadine	38868
CHEBI:135165	bamipine	18753
CHEBI:135168	terodiline	37815
CHEBI:135169	Emepronium	3816
CHEBI:135177	Iprindole	5979
CHEBI:135180	Nifuratel	7419
CHEBI:135182	prothipendyl	55244
CHEBI:135183	isothipendyl	28012
CHEBI:135193	fospropofol	828682
CHEBI:135198	tetrazepam	37985
CHEBI:135200	adrafinil	45938
CHEBI:135204	caramiphen	20191
CHEBI:135205	Bencyclane	1367
CHEBI:135207	chlophedianol	21254
CHEBI:135209	Procaterol	34530
CHEBI:135214	MELITRACEN	446248
CHEBI:135222	Dimethindene	3449
CHEBI:135226	pramiverine	190433
CHEBI:135227	butriptyline	19895
CHEBI:135228	budipine	19832
CHEBI:135230	sulfacytine	78902
CHEBI:135231	Norgestrienone	7519
CHEBI:135235	tiadenol	38248
CHEBI:135239	indobufen	27518
CHEBI:135242	normethadone	32009
CHEBI:135244	tertatolol	37840
CHEBI:135245	DIISOPROMINE	236206
CHEBI:135246	chlorothen	59695
CHEBI:135261	carazolol	20192
CHEBI:135262	piprozoline	33761
CHEBI:135272	etifoxine	24441
CHEBI:135276	dihydrocodeine	23088
CHEBI:135278	terizidone	57047
CHEBI:135282	Norethandrolone	7513
CHEBI:135283	Methenolone	6833
CHEBI:135285	vildagliptin	596554
CHEBI:135288	chlorphenoxamine	20881
CHEBI:135292	quinupramine	35242
CHEBI:135293	Mesterolone	6781
CHEBI:135306	ibopamine	51253
CHEBI:135307	moxaverine	52918
CHEBI:135310	butamirate	19862
CHEBI:135312	sulisobenzone	1311567
CHEBI:135317	aminaphthone	46276
CHEBI:135323	Gestodene	25734
CHEBI:135329	fomocain	25231
CHEBI:135333	Lodoxamide	52151
CHEBI:135339	demegestone	22483
CHEBI:135340	benorilate	1372
CHEBI:135342	reboxetine	60842
CHEBI:135343	Oxyfedrine	7805
CHEBI:135351	Rotigotine	616739
CHEBI:135354	butalamine	180806
CHEBI:135358	Oxyphenisatin	8136
CHEBI:135361	Methscopolamine	89785
CHEBI:135363	TIEMONIUM	236188
CHEBI:135364	oxetorone	32633
CHEBI:135367	DIHEXYVERINE	236209
CHEBI:135370	Aprindine	1054
CHEBI:135372	clostebol	61686
CHEBI:135379	cyamemazine	21877
CHEBI:135381	trofosfamide	38865
CHEBI:135385	viquidil	39580
CHEBI:135397	difemerine	163406
CHEBI:135398	norelgestromin	326374
CHEBI:135399	thiphenamil	38150
CHEBI:135402	promestriene	34625
CHEBI:135404	Flumethiazide	89911
CHEBI:135406	bornaprine	19610
CHEBI:135418	oxitropium	32649
CHEBI:135419	tropatepine	38876
CHEBI:135420	tetroxoprim	37999
CHEBI:135422	progabide	34568
CHEBI:135423	SULFACHRYSOIDINE	236832
CHEBI:135424	oxeladin	32626
CHEBI:135428	nifurzide	31786
CHEBI:135429	buzepide metiodide	19943
CHEBI:135432	Propanidid	8758
CHEBI:135433	propinox	76273
CHEBI:135442	pyrisuccideanol	35097
CHEBI:135443	poldine	33926
CHEBI:135445	Canrenone	1982
CHEBI:135446	Medrogestone	6690
CHEBI:135451	fenethylline	24840
CHEBI:135455	piketoprofen	82910
CHEBI:135464	chlorproethazine	59860
CHEBI:135468	FEDRILATE	235961
CHEBI:135470	Indoramin	5784
CHEBI:135479	dipipanone	23405
CHEBI:135480	DISOFENIN	314599
CHEBI:135483	pipoxolan	33758
CHEBI:135491	Methadyl Acetate	6814
CHEBI:135492	buthiazide	19882
CHEBI:135493	quinfamide	35216
CHEBI:135497	eprozinol	24274
CHEBI:135499	Xipamide	11371
CHEBI:135505	niaprazine	31722
CHEBI:135506	quinestradol	35215
CHEBI:135507	dopexamine	23638
CHEBI:135510	cafedrine	47589
CHEBI:135515	bendamustine	134547
CHEBI:135517	Dimethoxanate	121069
CHEBI:135520	cyclomethycaine	21990
CHEBI:135521	Captodiamine	89812
CHEBI:135523	cetalkonium chloride	47907
CHEBI:135525	Chromonar	2508
CHEBI:135528	Phthalylsulfacetamide	89736
CHEBI:135530	Solifenacin	322167
CHEBI:135531	Dexetimide	3267
CHEBI:135533	talinolol	37546
CHEBI:135534	lapyrium	28456
CHEBI:135535	etofibrate	24609
CHEBI:135538	propyphenazone	34710
CHEBI:135545	glibornuride	102846
CHEBI:135550	Phenoperidine	8143
CHEBI:135551	fenbutrazate	158507
CHEBI:135552	prucalopride	2107310
CHEBI:135554	Pyrithioxin	9020
CHEBI:135556	ketazolam	28181
CHEBI:135560	Prajmaline	8622
CHEBI:135561	flavodic acid	25060
CHEBI:135566	rimexolone	55681
CHEBI:135572	prednylidene	12473
CHEBI:135573	meprednisone	29523
CHEBI:135574	nabilone	31447
CHEBI:135576	bunazosin	19850
CHEBI:135581	Fluocortolone	4463
CHEBI:135590	Ambroxol	625
CHEBI:135600	veralipride	39468
CHEBI:135601	denaverine	22503
CHEBI:135602	zipeprol	39969
CHEBI:135605	bamifylline	18752
CHEBI:135611	Benzalkonium	1378
CHEBI:135612	reproterol	35373
CHEBI:135613	regadenoson	640062
CHEBI:135616	fonazine	50138
CHEBI:135619	cloprednol	21285
CHEBI:135621	metaclazepam	29590
CHEBI:135622	besifloxacin	819911
CHEBI:135624	Diflucortolone	3392
CHEBI:135626	gemeprost	12449
CHEBI:135627	quinagolide	76887
CHEBI:135629	cefetamet	20482
CHEBI:135630	drotaverin	23684
CHEBI:135635	pipazethate	33740
CHEBI:135636	Fursultiamin	4604
CHEBI:135639	fominoben	183875
CHEBI:135640	dehydrosanol	22427
CHEBI:135642	cinitapride	21125
CHEBI:135647	CLOCINIZINE	402583
CHEBI:135652	Flunarizine	4459
CHEBI:135654	imidapril	60245
CHEBI:135655	febarbamate	24807
CHEBI:135662	Trifluperidol	10804
CHEBI:135679	levocabastine	28627
CHEBI:135681	THEOFIBRATE	236713
CHEBI:135685	omoconazole	32411
CHEBI:135686	alvimopan	480639
CHEBI:135692	etofamide	24607
CHEBI:135699	Pirinitramide	8354
CHEBI:135720	deflazacort	22396
CHEBI:135724	halometasone	26416
CHEBI:135726	metopimazine	29954
CHEBI:135728	fluocortin butyl ester	25127
CHEBI:135729	carpipramine	20342
CHEBI:135730	tioclomarol	163426
CHEBI:135737	lacidipine	28382
CHEBI:135738	clevidipine	233603
CHEBI:135740	detajmium	82665
CHEBI:135744	fenoverine	24855
CHEBI:135752	tafenoquine	2054023
CHEBI:135756	spirapril	36908
CHEBI:135758	tiropramide	38315
CHEBI:135760	dibrompropamidine	22865
CHEBI:135766	TIBEZONIUM IODIDE	237141
CHEBI:135772	meclocycline	29418
CHEBI:135787	flucloronide	190410
CHEBI:135791	prednicarbate	34369
CHEBI:135793	mepirodipine	39879
CHEBI:135802	tritoqualine	38810
CHEBI:135811	pinaverium	33724
CHEBI:135816	glucametacin	25834
CHEBI:135820	cortivazol	21660
CHEBI:135821	TOCOPHERYL ACID SUCCINATE,D-ALPHA	314875
CHEBI:135829	alatrofloxacin	141440
CHEBI:135832	brovanexine	19791
CHEBI:135839	difebarbamate	23020
CHEBI:135843	Hexobendine	5303
CHEBI:135845	rapacuronium	262100
CHEBI:135846	nicofuranose	104486
CHEBI:135848	METHOSERPIDINE	235829
CHEBI:135849	manidipine	29275
CHEBI:135853	tirilazad	72467
CHEBI:135862	Tyropanoate	10960
CHEBI:135870	Thymopentin	40230
CHEBI:135876	valrubicin	31435
CHEBI:135880	benzquercin	117896
CHEBI:135884	ioxilan	27793
CHEBI:135885	Medigoxin	6686
CHEBI:135888	Pimecrolimus	321952
CHEBI:135893	iopentol	27779
CHEBI:135894	Saralasin	9556
CHEBI:135898	lanatoside C	27929
CHEBI:135899	Atosiban	59639
CHEBI:135901	lanreotide	68092
CHEBI:135905	terlipressin	57048
CHEBI:135907	Buserelin	1825
CHEBI:135910	ganirelix	35825
CHEBI:135913	Human Secretin	606396
CHEBI:135915	thymalfasin	38221
CHEBI:135919	Nesiritide	19666
CHEBI:135920	fesoterodine	797195
CHEBI:135922	Pramlintide	139953
CHEBI:135923	migalastat	2054252
CHEBI:135925	Lisdexamfetamine	700810
CHEBI:135928	doripenem	119771
CHEBI:135929	silodosin	720825
CHEBI:135930	lercanidipine	135056
CHEBI:135931	dexlansoprazole	816346
CHEBI:135933	Stannous Fluoride	10030
CHEBI:135934	selenium sulfide	36345
CHEBI:135935	tapentadol	787390
CHEBI:135939	lacosamide	623400
CHEBI:135941	4-dimethylaminophenol	15027
CHEBI:135946	Sincalide	9800
CHEBI:135947	bazedoxifene	1441386
CHEBI:135948	amifampridine	2106338
CHEBI:135949	ambrisentan	358274
CHEBI:135957	voclosporin	2475166
CHEBI:135959	Xenon-133	259282
CHEBI:135961	degarelix	475230
CHEBI:135969	DIFETARSONE	402587
CHEBI:135974	meradimate	91324
CHEBI:135976	MENTHYL SALICYLATE	1368207
CHEBI:135978	domiphen	23623
CHEBI:135983	Teriparatide	32915
CHEBI:135986	Fluclorolone	108091
CHEBI:135989	FLUPREDNIDENE	236650
CHEBI:135993	nomegestrol	31930
CHEBI:136003	LEVOMETHADONE	236913
CHEBI:136007	methylnaltrexone	29899
CHEBI:136009	Levomefolic Acid	1025342
CHEBI:136012	octyltriethoxysilane	1310586
CHEBI:136014	diazolidinylurea	1310602
CHEBI:136018	morniflumate	30225
CHEBI:136020	Ornipressin	7703
CHEBI:136021	Phenylmercuric nitrate	89722
CHEBI:136034	afamelanotide	2262250
CHEBI:136040	levomilnacipran	1433212
CHEBI:136048	vonoprazan	2604577
CHEBI:136050	ozenoxacin	1994739
CHEBI:136051	lusutrombopag	2054984
CHEBI:136609	theaflavin	38021
CHEBI:137426	dehydroacetic acid	1312367
CHEBI:137881	Dehydrocholate	42625
CHEBI:138721	MYRISTYL MYRISTATE	1425924
CHEBI:138824	acid blue 9 ammonium	2101006
CHEBI:138856	Oxolinic Acid	7798
CHEBI:139123	Pyrrolidonecarboxylic Acid	9036
CHEBI:140376	cefiderocol	2265702
CHEBI:140421	betrixaban	1927851
CHEBI:140427	desirudin	114934
CHEBI:140503	Kaolin	6102
CHEBI:140618	Castor Oil	2129
CHEBI:140621	Cisatracurium	319864
CHEBI:140628	secnidazole	36314
CHEBI:141061	LAURYL LAURATE	1426922
CHEBI:141146	Levonordefrin	132889
CHEBI:141213	isoxaflutole	1371313
CHEBI:141517	tyloxapol	38998
CHEBI:142290	anagrelide	596724
CHEBI:142406	ziconotide	68503
CHEBI:142418	vibegron	2472254
CHEBI:142432	vericiguat	2475830
CHEBI:142437	lepirudin	237057
CHEBI:142773	estetrol	2539031
CHEBI:143117	Lorlatinib	2103164
CHEBI:143255	bioallethrin	19338
CHEBI:143266	diisopropanolamine	1362922
CHEBI:143768	NEOPENTYL GLYCOL	1368162
CHEBI:143858	decylene glycol	1426901
CHEBI:144421	ferric citrate	1594675
CHEBI:145012	rebaudioside A	1667222
CHEBI:145232	acetylcellulose	1425216
CHEBI:145371	Binimetinib	2049122
CHEBI:145372	gilteritinib	2105806
CHEBI:145373	pexidartinib	2183102
CHEBI:145374	enasidenib	1940332
CHEBI:145428	glasdegib	2105845
CHEBI:145430	ivosidenib	2049873
CHEBI:145536	motixafortide	2664896
CHEBI:145567	DIBUNATE	402565
CHEBI:145698	amezinium	17665
CHEBI:145701	butylscopolamine	1085787
CHEBI:145791	Trospium	236778
CHEBI:145994	remdesivir	2275602
CHEBI:146185	CETYL ACETATE	1364378
CHEBI:146188	glymidine	102848
CHEBI:147675	Idoxuridine	5653
CHEBI:149226	Fenoterol	4333
CHEBI:149601	enfortumab	2268307
CHEBI:149634	dehydroemetine	3142
CHEBI:149773	dodecylbenzenesulfonic acid	1094060
CHEBI:149836	tigecycline	384455
CHEBI:150326	ISOMALT	1363717
CHEBI:15347	Acetone	178
CHEBI:15354	Choline	2449
CHEBI:15355	Acetylcholine	194
CHEBI:15356	Cysteine	3024
CHEBI:15361	Pyruvate	72031
CHEBI:15365	Aspirin	1191
CHEBI:15366	Acetic Acid	168
CHEBI:15367	Tretinoin	10753
CHEBI:15377	Water	11295
CHEBI:15384	limonene	28730
CHEBI:15407	Ephedrine	3966
CHEBI:15409	LEVOMENTHOL	236388
CHEBI:15422	Adenosine Triphosphate	318
CHEBI:15428	Glycine	4919
CHEBI:15440	Squalene	10014
CHEBI:15443	Inulin	5924
CHEBI:15544	Alprostadil	598
CHEBI:15551	Dinoprostone	3478
CHEBI:15552	Epoprostenol	8814
CHEBI:15553	Dinoprost	3477
CHEBI:156095	lumefantrine	847728
CHEBI:15611	Sarcosine	1362906
CHEBI:15640	Leucovorin	6313
CHEBI:156496	D & C Red No. 27	1311172
CHEBI:15676	Allantoin	508
CHEBI:157175	Enoxacin	3925
CHEBI:15727	carnosine	1362697
CHEBI:15741	Succinic Acid	37255
CHEBI:15758	leucocyanidin	28574
CHEBI:15760	Tyramine	10958
CHEBI:15765	Levodopa	6375
CHEBI:15767	methylene chloride	1311537
CHEBI:15854	Quinine	9071
CHEBI:15882	phenol	33290
CHEBI:15891	Taurine	10337
CHEBI:15939	Glycyrrhizic Acid	26143
CHEBI:15940	Niacin	7393
CHEBI:15948	lycopene	29008
CHEBI:15956	D-BIOTIN	1588
CHEBI:16000	ethanolamine	24457
CHEBI:16010	Pyroglutamate	155060
CHEBI:16016	Dihydroxyacetone	3430
CHEBI:160246	Aminopyrine	695
CHEBI:16038	Phosphatidylethanolamines	8215
CHEBI:16052	propylene	1314239
CHEBI:16109	1,3-propanediol	1363030
CHEBI:16113	Cholesterol	2438
CHEBI:16118	Berberine	1437
CHEBI:16125	cetyl alcohol	20615
CHEBI:16134	Ammonia	1299884
CHEBI:16150	Benzoate	70589
CHEBI:16163	Carbocysteine	2023
CHEBI:16164	Pyrogallol	9022
CHEBI:161680	Aztreonam	1272
CHEBI:16189	Sulfate Ion	1426598
CHEBI:16199	Urea	11002
CHEBI:16204	Phloroglucinol	8196
CHEBI:16236	Ethanol	448
CHEBI:16240	Hydrogen Peroxide	5499
CHEBI:16243	Quercetin	9060
CHEBI:16247	Phospholipids	8246
CHEBI:16261	Chitosan	59038
CHEBI:16335	Adenosine	296
CHEBI:16336	hyaluronate	258347
CHEBI:16347	Levocarnitine	42955
CHEBI:16359	Cholic Acid	1440856
CHEBI:16389	Ubiquinone	10975
CHEBI:164200	Triclosan	10795
CHEBI:16422	Androstenedione	784
CHEBI:16436	Citicoline	997602
CHEBI:16449	Alanine	426
CHEBI:16454	pantothenate	62400
CHEBI:16464	salicyl alcohol	1363054
CHEBI:16480	Nitric Oxide	7442
CHEBI:165211	benzyl salicylate	1362907
CHEBI:16526	Carbon Dioxide	2034
CHEBI:16581	Pregnenolone	114052
CHEBI:16586	6-Aminocaproic Acid	99
CHEBI:16651	L-lactate	1427172
CHEBI:16664	Albendazole	430
CHEBI:166679	retapamulin	642274
CHEBI:16684	Atropine	1223
CHEBI:166975	Soybean Oil	9949
CHEBI:16704	Uridine	11017
CHEBI:16708	Adenine	290
CHEBI:16709	pyridoxine	684879
CHEBI:16714	Codeine	2670
CHEBI:16724	Sodium Oxybate	9899
CHEBI:16726	keracyanin	28165
CHEBI:16731	cinnamic aldehyde	1368153
CHEBI:16737	Creatinine	2913
CHEBI:16742	Orotic Acid	7712
CHEBI:167450	monomethyl fumarate	1546433
CHEBI:167574	semaglutide	1991302
CHEBI:167626	Glycol Stearate	1426255
CHEBI:167707	acalabrutinib	1986808
CHEBI:16794	Scopolamine	9601
CHEBI:16796	Melatonin	6711
CHEBI:16811	Racemethionine	6837
CHEBI:168396	Mycophenolic Acid	7145
CHEBI:168398	ethyl cellulose	1310565
CHEBI:16842	Formaldehyde	4530
CHEBI:168426	triethyl citrate	1310554
CHEBI:16856	Glutathione	4890
CHEBI:16869	Oleandomycin	7629
CHEBI:168721	ethylene brassylate	1314363
CHEBI:168845	ETHYL MENTHANE CARBOXAMIDE	1358486
CHEBI:16899	manitol	2475831
CHEBI:169105	ethyl maltol	1314359
CHEBI:16914	Salicylic Acid	9525
CHEBI:16919	Creatine	2907
CHEBI:169371	ethyl levulinate	1313748
CHEBI:16958	beta-Alanine	61
CHEBI:16962	Cortisone	2878
CHEBI:169727	Iophendylate	5968
CHEBI:16973	Deoxycorticosterone	3256
CHEBI:16997	Propylene glycol	34693
CHEBI:170007	nirmatrelvir	2587892
CHEBI:17015	Riboflavin	9346
CHEBI:17020	glucomannan	11454
CHEBI:17026	Progesterone	8727
CHEBI:17043	2-phenylphenol	236677
CHEBI:17045	Nitrous Oxide	7486
CHEBI:17051	Fluoride Ion	196213
CHEBI:17076	Streptomycin	10109
CHEBI:17113	Erythritol	1369563
CHEBI:17126	Carnitine	2106
CHEBI:17141	Cysteamine	3022
CHEBI:17151	Xylitol	11377
CHEBI:17154	Niacinamide	7405
CHEBI:17169	benzaldehyde	1314334
CHEBI:17201	Glycylglycine	1362904
CHEBI:17202	Inosinic Acid	5832
CHEBI:17224	Hymecromone	5556
CHEBI:17231	metacresol	1367170
CHEBI:17234	Glucose	4850
CHEBI:17245	Carbon Monoxide	2037
CHEBI:17246	Polyvinyl Alcohol	8570
CHEBI:17252	Hydroxyprogesterone	5542
CHEBI:17263	Estrone	4103
CHEBI:172677	pangamic acid	7886
CHEBI:172943	bictegravir	1999660
CHEBI:172944	cabotegravir	2475077
CHEBI:17303	Morphine	7052
CHEBI:17306	Maltose	1311261
CHEBI:173077	copanlisib	1945077
CHEBI:17309	pectin	32987
CHEBI:17310	Pyridoxal	9002
CHEBI:17334	Penicillin	70618
CHEBI:17347	Testosterone	10379
CHEBI:17376	Cystine	3036
CHEBI:17401	Phytic Acid	8302
CHEBI:174175	menthyl lactate	1310581
CHEBI:174368	hexyl decanoate	1313706
CHEBI:17439	vitamin B12	11248
CHEBI:17447	geraniol	1368875
CHEBI:174690	Clenbuterol	2580
CHEBI:17486	Hyoscyamine	153970
CHEBI:17548	alginic acid	17305
CHEBI:17549	Aminolevulinic Acid	683
CHEBI:17553	pea allergenic extract	892569
CHEBI:17568	Uracil	10995
CHEBI:17579	Beta Carotene	19143
CHEBI:17580	linalool, (+-)-	1368896
CHEBI:175901	gemcitabine	12574
CHEBI:17594	hydroquinone	5509
CHEBI:17621	riboflavin 5'-phosphate	1925821
CHEBI:176233	tocophersolan	159151
CHEBI:176399	inclisiran	2588243
CHEBI:17650	Hydrocortisone	5492
CHEBI:17658	Tylosin	995505
CHEBI:17682	Benzoin	1406
CHEBI:176825	tributyl citrate	1314417
CHEBI:176844	niraparib	1918231
CHEBI:17698	Chloramphenicol	2348
CHEBI:17716	Lactose	6211
CHEBI:177418	carzenide	20355
CHEBI:177453	elagolix	2049846
CHEBI:177470	Cloprostenol	2606
CHEBI:17750	Betaine	1512
CHEBI:17754	Glycerin	4910
CHEBI:177562	selamectin	1044269
CHEBI:177570	deslorelin	1311744
CHEBI:177605	samidorphan	2559612
CHEBI:17761	Ceramides	2243
CHEBI:177631	ulipristal	1005921
CHEBI:177658	ganaxolone	2604689
CHEBI:177703	Latanoprostene Bunod	1988390
CHEBI:177758	omadacycline	2059269
CHEBI:177790	biclotymol	236268
CHEBI:177795	Clobetasone	108074
CHEBI:177804	eravacycline	2055906
CHEBI:177849	bremelanotide	2176312
CHEBI:17790	Methanol	1310568
CHEBI:17814	salicin	36100
CHEBI:178199	sotorasib	2550714
CHEBI:17821	Thymine	1368871
CHEBI:17822	Serine	9671
CHEBI:17823	Calcitriol	1894
CHEBI:17824	Isopropyl Alcohol	797541
CHEBI:178256	isobutylparaben	1364296
CHEBI:17833	Gentamicin Sulfate (USP)	142438
CHEBI:17836	4-Aminobenzoate	618974
CHEBI:178699	ethanolamine oleate	24460
CHEBI:17883	Hydrochloric Acid	5486
CHEBI:179285	ISOPROPYLPARABEN	1368879
CHEBI:17933	Calcifediol	1889
CHEBI:17941	Isoflurophate	6027
CHEBI:17976	ubiquinol	39085
CHEBI:17987	Benzyl Alcohol	1426
CHEBI:17992	Sucrose	10159
CHEBI:17996	Chloride Ion	153974
CHEBI:180653	molnupiravir	2587901
CHEBI:18067	vitamin K1	8308
CHEBI:18145	alpha Tocopherol	237099
CHEBI:18153	Ethylene	1314362
CHEBI:18186	Tyrosine	10962
CHEBI:181906	polydextrose	1363053
CHEBI:18208	Penicillin G	7980
CHEBI:18211	Citrulline	2567
CHEBI:18212	Selenite	9640
CHEBI:18219	Ammonium Hydroxide	1362884
CHEBI:18222	Xylose	11378
CHEBI:18243	Dopamine	3628
